Reading No;Time;Type;Duration;Units;Sequence;Alloy1;Alloy2;Flags;SAMPLE;HEAT;LOT;BATCH;MISC;NOTE;Res;EScale;Shape Time;User Login;LOCATION;INSPECTOR;Fundstelle;Schnitt Nummer;Art des Materials;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Pd;Pd Error;Ag;Ag Error;Ru;Ru Error;Mo;Mo Error;Nb;Nb Error;Zr;Zr Error;Bi;Bi Error;Se;Se Error;W;W Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Al;Al Error;LEC;LEC Error;Pb;Pb Error;Zn;Zn Error;Cu;Cu Error;S;S Error;P;P Error;Si;Si Error;Mg;Mg Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;As;As Error;Hg;Hg Error;Au;Au Error;Bal;Bal Error;Y;Y Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Ca;Ca Error;K;K Error;Cl;Cl Error;Sc;Sc Error;Cs;Cs Error;Te;Te Error
34;19.09.2023 11:03;TestAll Geo;300,36;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,42;;;<LOD;3,06;;;<LOD;1,5;17,27;1,29;107,66;1,96;<LOD;37,62;<LOD;1,5;<LOD;24,58;<LOD;1,5;<LOD;1,5;<LOD;1,5;113,08;11,57;<LOD;68,49;43351,14;148,87;638,58;28,83;240,41;19,08;138,58;7,18;4637,92;45,14;;;;;26,45;2,43;154,12;5,66;36,67;6,24;;;;;;;;;200,63;2,22;<LOD;3,54;159,7;2,31;5,05;0,51;13,32;2,06;<LOD;21,67;0,36;0,11;888224,63;454,28;25,26;1,5;283,27;18,72;175,22;15,31;742,32;25,57;26203,76;175,07;31729,04;236,29;;;;;;;;
35;19.09.2023 11:09;TestAll Geo;300,64;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,44;;;<LOD;3,07;;;<LOD;1,5;16,68;1,28;107,17;1,96;<LOD;38,85;<LOD;1,5;<LOD;24,87;<LOD;1,5;<LOD;1,5;<LOD;1,5;116,9;11,67;<LOD;68,83;43371,75;148,93;639,04;28,87;230,18;18,92;138,93;7,09;4629,75;44,53;;;;;27,54;2,45;155,07;5,68;34,69;6,22;;;;;;;;;203,02;2,23;<LOD;3,53;160,57;2,33;5,71;0,52;11,72;2,05;<LOD;21,69;0,27;0,1;888309,94;450,1;23,99;1,48;264,33;18,56;168,14;15,25;735,93;25,56;26343,5;173,55;31367,81;232,18;;;;;;;;
36;19.09.2023 11:14;TestAll Geo;300,92;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,36;;;<LOD;3,04;;;<LOD;1,5;15,58;1,26;107,09;1,96;<LOD;38,1;<LOD;1,5;<LOD;25,3;<LOD;1,5;<LOD;1,5;<LOD;1,5;123,17;11,73;<LOD;68,77;43205,52;149;631,98;28,84;229,97;18,81;135,84;7,08;4620,68;44,71;;;;;28,2;2,46;150,79;5,65;38,68;6,3;;;;;;;;;202,49;2,24;5,23;2,39;160,17;2,33;5,32;0,51;11,74;2,07;<LOD;21,94;0,41;0,11;888593,81;448,53;24,2;1,47;263,18;18,41;169,09;15,14;720,33;25,29;26222,38;174,02;31425,1;233,61;;;;;;;;
37;19.09.2023 11:41;TestAll Geo;1,7;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;132,35;;;<LOD;115,35;;;<LOD;1,5;<LOD;28,8;92,86;34,18;<LOD;541,79;<LOD;20,05;<LOD;404,34;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;324,07;<LOD;1233,79;43572,43;2701,23;<LOD;799,11;<LOD;1346,52;<LOD;1149,83;<LOD;5345,3;;;;;<LOD;79,77;169,99;104,88;<LOD;159,71;;;;;;;;;222,68;42,18;<LOD;60,88;166,24;41,63;<LOD;2196,54;<LOD;90,81;<LOD;369,01;<LOD;3,5;948970,88;5061,74;<LOD;36,71;;;;;;;;;;;;;;;;;;
38;19.09.2023 11:47;TestAll Geo;300,14;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,41;;;<LOD;3,03;;;<LOD;1,5;16,27;1,27;107,09;1,96;<LOD;37,99;<LOD;1,5;<LOD;25,27;<LOD;1,5;<LOD;1,5;<LOD;1,5;114,01;11,68;<LOD;68,89;42677;148,54;622,93;28,8;219,17;19,17;134,53;7,05;4536,66;44,05;;;;;25,82;2,43;147,12;5,61;33;6,22;;;;;;;;;196,41;2,21;<LOD;3,52;156,91;2,31;5,48;0,52;11,64;2,04;<LOD;21,6;0,38;0,11;891263,06;441,7;25,02;1,48;262,19;18,42;171,06;15,18;742,01;25,41;25023,37;169,11;30547,49;229,6;;;;;;;;
39;19.09.2023 12:11;Mining;488,59;%;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;Ifana;h;Keramik;;;;;<LOD;0,002;;;<LOD;0,002;;;;;<LOD;0,002;0,012;0,001;<LOD;0,005;<LOD;0,002;;;;;;;;;0,005;0,001;<LOD;0,009;4,623;0,021;0,053;0,004;0,024;0,002;0,014;0,001;0,461;0,004;13,396;0,143;;;0,002;0,001;0,017;0,001;<LOD;0,002;0,052;0,016;0,136;0,007;16,726;0,076;<LOD;0,214;0,02;0,001;;;0,016;0,001;<LOD;0,019;<LOD;0,002;<LOD;0,003;;;58,048;0,243;0,002;0,001;0,028;0,002;0,017;0,001;0,071;0,002;2,523;0,016;3,115;0,021;0,622;0,005;;;;;;
40;19.09.2023 12:25;General Metals;302,46;%;Final;No Match : *5.50;No Match : *6.07;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,014;<LOD;0,049;<LOD;0,01;<LOD;0,011;16,186;0,053;0,004;0,002;<LOD;0,003;0,002;0,001;<LOD;0,002;0,69;0,015;3,163;0,035;72,623;0,113;;;;;;;<LOD;0,027;<LOD;0,023;0,472;0,025;<LOD;0,042;0,088;0,008;<LOD;0,009;0,146;0,006;<LOD;0,229;;;<LOD;0,027;<LOD;0,055;0,698;0,022;<LOD;0,002;5,914;0,037;<LOD;0,076;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;19.09.2023 12:32;TestAll Geo;300,75;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;96,33;;;305809,94;1018,68;;;<LOD;1,5;435,8;19,81;<LOD;62,7;<LOD;652,56;30573,96;219,59;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;1718,21;119,04;701,01;105,43;6453,33;236,58;1652,56;187,07;<LOD;148,35;<LOD;27,19;1320,86;57,26;;;;;<LOD;136,32;9475,79;157,08;19110,43;221,87;;;;;;;;;<LOD;60,42;<LOD;300000;22651,08;163,45;15098,85;1281,86;4405,47;72,3;543378,06;1514,09;<LOD;300000;<LOD;1,5;<LOD;51,6;541,38;191,42;286,18;153,44;541,78;238,21;18302,45;279,29;17431,98;311,52;;;;;;;;
42;19.09.2023 12:35;General Metals;47,82;%;Final;No Match : *5.23;No Match : *5.36;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,03;<LOD;0,101;<LOD;0,022;<LOD;0,022;16,921;0,124;<LOD;0,006;<LOD;0,005;<LOD;0,004;<LOD;0,005;0,709;0,032;3,262;0,074;71,59;0,298;;;;;;;<LOD;0,038;<LOD;0,031;0,365;0,037;<LOD;0,059;0,081;0,023;<LOD;0,026;0,156;0,016;<LOD;0,676;;;<LOD;0,054;<LOD;0,088;0,595;0,037;<LOD;0,002;6,302;0,107;<LOD;0,232;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;19.09.2023 12:37;General Metals;25,82;%;Final;Ta : *2.42;NiWht : *2.42;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,757;<LOD;0,557;<LOD;0,551;<LOD;0,51;<LOD;0,467;<LOD;0,146;<LOD;0,079;<LOD;0,066;<LOD;0,062;<LOD;0,126;<LOD;0,108;<LOD;1,897;;;;;;;<LOD;0,656;<LOD;0,226;<LOD;0,652;<LOD;0,292;<LOD;0,85;<LOD;0,576;<LOD;0,442;7,611;3,375;;;<LOD;0,113;<LOD;0,222;<LOD;0,424;<LOD;1,323;<LOD;0,801;3,682;0,951;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;19.09.2023 12:43;TestAll Geo;300,87;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;484,19;;;<LOD;276,78;;;<LOD;1,5;<LOD;93,81;<LOD;121,93;<LOD;1386,42;<LOD;113,2;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;1638,67;719,26;<LOD;441,37;7821,24;748,35;650,1;357,41;<LOD;877,16;<LOD;160,3;812,55;201,72;;;;;<LOD;195,52;299,9;171,03;<LOD;620,67;;;;;;;;;<LOD;38,99;<LOD;300000;<LOD;41,37;<LOD;5893,99;<LOD;106,95;<LOD;3318,28;<LOD;300000;338714,88;72416,36;68,76;36,85;<LOD;3723,04;<LOD;2863,09;<LOD;4191,76;7457,98;671,05;59059,12;3811,87;;;;;;;;
45;19.09.2023 12:57;TestAll Geo;300,44;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;21,78;;;344,19;28,28;;;<LOD;1,5;357,54;177,66;<LOD;791,51;<LOD;5392,24;97,59;55,97;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;508,19;75,48;343,42;62,06;494,71;106,4;557,59;119,21;<LOD;66,72;44,11;10,43;<LOD;45,19;;;;;556036,25;14175,74;132,76;27,74;99,18;37,25;;;;;;;;;<LOD;44,2;<LOD;300000;<LOD;359,18;<LOD;18310,16;29266,14;960,46;<LOD;471,7;<LOD;300000;353658,5;18047,17;<LOD;227,31;531,09;101,92;316,01;80,93;675,41;123,74;46342,81;1061,55;2247,36;171,48;;;;;;;;
46;19.09.2023 13:07;TestAll Geo;463,16;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;8,94;;;101,6;6,5;;;<LOD;1,5;<LOD;3,73;90,43;8,49;<LOD;136,25;<LOD;4,22;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;85,5;22,27;<LOD;25,18;2063,96;42,42;<LOD;35,37;<LOD;19,09;17,16;3,18;393,19;11,47;;;;;1016;20,63;5573,47;56,4;228150,75;1133,32;;;;;;;;;58,18;2,58;<LOD;300000;18,69;4,09;<LOD;543,37;654,09;24,64;<LOD;63,47;<LOD;300000;717377,31;1322,78;15,72;2,78;167,13;26,64;83,19;21,63;189,48;34,3;39605,47;217,69;4019,93;76,82;;;;;;;;
47;19.09.2023 13:19;General Metals;600;%;Final;No Match : *6.01;No Match : *6.01;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,014;0,095;0,006;<LOD;0,012;<LOD;0,012;<LOD;0,066;<LOD;0,004;0,005;0,001;0,002;0,001;0,047;0,002;0,01;0,003;<LOD;0,004;<LOD;0,032;;;;;;;0,015;0,007;<LOD;0,015;0,343;0,009;<LOD;0,021;<LOD;0,009;0,048;0,004;0,108;0,004;2,639;0,144;;;0,542;0,011;1,356;0,015;58,64;0,122;<LOD;0,002;0,232;0,012;35,868;0,065;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;19.09.2023 14:58;TestAll Geo;300,07;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,4;;;<LOD;3,08;;;<LOD;1,5;17,16;1,27;108,81;1,97;<LOD;37,56;<LOD;1,5;<LOD;25,04;<LOD;1,5;<LOD;1,5;<LOD;1,5;131,12;11,83;<LOD;68,77;43112,2;149,09;604,63;28,53;214,84;19,14;137,58;7,07;4549,87;44,05;;;;;28,78;2,48;157,68;5,73;32,51;6,22;;;;;;;;;202,88;2,24;<LOD;3,49;158,15;2,31;4,95;0,51;14,12;2,11;<LOD;21,84;0,43;0,11;889353,13;445,1;25,05;1,48;266,81;18,4;167,09;15,09;693,62;25,11;26366,37;173,26;30648,33;229,16;;;;;;;;
49;19.09.2023 15:20;General Metals;300,01;%;Final;No Match : *6.67;No Match : *6.75;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,063;<LOD;0,109;<LOD;0,029;0,032;0,012;53,196;0,163;<LOD;0,006;<LOD;0,004;<LOD;0,003;0,056;0,002;0,704;0,016;<LOD;0,011;<LOD;0,065;;;;;;;0,101;0,023;<LOD;0,045;0,633;0,037;<LOD;0,085;0,139;0,012;0,093;0,011;0,221;0,012;2,554;0,158;;;0,472;0,017;<LOD;0,037;23,6;0,087;<LOD;0,002;0,033;0,01;18,151;0,076;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;19.09.2023 15:27;General Metals;364,99;%;Final;No Match : *6.90;No Match : *6.90;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,062;<LOD;0,105;<LOD;0,026;<LOD;0,021;61,739;0,15;<LOD;0,005;<LOD;0,003;<LOD;0,003;0,018;0,002;0,765;0,014;<LOD;0,01;0,179;0,03;;;;;;;0,093;0,02;<LOD;0,042;0,621;0,035;<LOD;0,081;0,144;0,01;0,098;0,009;0,254;0,011;3,314;0,126;;;0,47;0,015;<LOD;0,03;15,397;0,066;<LOD;0,002;0,063;0,007;16,815;0,062;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;19.09.2023 15:33;General Metals;290,22;%;Final;No Match : *5.90;No Match : *6.51;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,058;<LOD;0,1;<LOD;0,026;<LOD;0,022;53,082;0,134;<LOD;0,004;<LOD;0,002;<LOD;0,002;0,021;0,002;0,524;0,013;<LOD;0,007;<LOD;0,043;;;;;;;<LOD;0,036;<LOD;0,026;0,369;0,03;<LOD;0,052;0,159;0,01;0,091;0,009;0,147;0,009;2,562;0,118;;;0,363;0,012;<LOD;0,025;21,757;0,074;<LOD;0,002;<LOD;0,014;20,889;0,067;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;19.09.2023 15:39;TestAll Geo;300,89;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;82,78;;;411458,91;14198,45;;;<LOD;1,5;<LOD;90,45;<LOD;126,1;<LOD;3103,94;<LOD;30,5;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;128,75;<LOD;105,01;2233,43;157,31;<LOD;187,9;<LOD;44,78;69,79;7,53;641,15;28,73;;;;;1985,16;81,68;224,26;63,29;117565,55;3291,07;;;;;;;;;<LOD;8,26;<LOD;300000;4092,01;135,75;73784,94;3747,46;862,72;75,84;1024,34;153,14;<LOD;300000;364269,69;21878,94;<LOD;45,03;233,2;145,54;<LOD;173,91;366,94;189,96;14330,2;406,23;9253;181,32;;;;;;;;
53;19.09.2023 15:46;TestAll Geo;302,73;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;81,91;;;373685,03;12887,02;;;<LOD;1,5;<LOD;86,91;<LOD;237,04;<LOD;2855,81;<LOD;41,07;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;266,28;75,03;<LOD;86,52;3355,79;171,25;<LOD;158,3;<LOD;44,8;58,93;7,62;1091,89;42,84;;;;;1676,69;68,68;190,92;41,38;53469,65;1634,9;;;;;;;;;40,17;7,51;<LOD;300000;5081,21;175,99;154774,8;6863,6;1849,57;110,94;1270,17;125,91;<LOD;300000;353753,25;22345;<LOD;42,3;<LOD;183,22;<LOD;155,97;266,14;167,09;40311,55;1164,75;9533,61;220,79;;;;;;;;
54;19.09.2023 15:53;TestAll Geo;302,52;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;55,86;;;250789,28;6596,06;;;<LOD;1,5;<LOD;104,06;<LOD;104,07;<LOD;3108,59;<LOD;21,93;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;622,95;71,16;<LOD;76,28;2117,71;122,07;<LOD;144,83;<LOD;35,76;25,27;5,75;880,07;29,62;;;;;1158,65;42,94;143,14;34,09;41117,86;935,74;;;;;;;;;387,32;13,1;<LOD;300000;4138,1;104,62;82630,53;3091,21;987,85;56,34;631,55;93,15;<LOD;300000;470556,91;13588,17;<LOD;45,04;223,66;94,3;116,08;75,85;248,64;119,73;98399,79;1990,49;10082,27;183,54;;;;;;;;
55;19.09.2023 16:00;General Metals;300,24;%;Final;No Match : *7.48;No Match : *7.66;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,183;0,009;2,573;0,021;<LOD;0,013;<LOD;0,012;<LOD;0,15;<LOD;0,004;<LOD;0,003;<LOD;0,002;0,083;0,003;0,026;0,006;<LOD;0,005;1,229;0,043;;;;;;;<LOD;0,017;<LOD;0,021;0,608;0,014;<LOD;0,024;<LOD;0,01;0,015;0,004;0,139;0,006;2,709;0,23;;;2,069;0,025;7,551;0,04;51,394;0,167;<LOD;0,002;0,147;0,014;31,169;0,101;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;19.09.2023 16:10;TestAll Geo;300,16;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;37,91;8,61;;;162,06;8,78;;;<LOD;1,5;<LOD;7,84;78,14;19,85;<LOD;365,66;<LOD;8,4;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;124,12;29,15;<LOD;42,61;4407,88;77,38;<LOD;47,3;<LOD;31,48;8,21;5,2;556,62;20,97;;;;;4342,71;66,79;40769,43;327,95;222480,55;1646,23;;;;;;;;;475,02;9,63;<LOD;300000;30,92;9,57;<LOD;1312,29;575,33;53,61;200,16;63,99;<LOD;300000;552317,44;2872,95;52,02;6,99;77,12;29,87;<LOD;36,87;<LOD;58,84;167776,22;881,56;4703,95;117,81;;;;;;;;
57;19.09.2023 16:15;General Metals;123,36;%;Final;No Match : *5.97;No Match : *6.48;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,437;0,019;4,88;0,048;<LOD;0,02;<LOD;0,018;<LOD;0,217;<LOD;0,006;<LOD;0,005;<LOD;0,004;0,091;0,006;<LOD;0,063;<LOD;0,021;<LOD;0,056;;;;;;;0,039;0,018;<LOD;0,034;0,366;0,028;<LOD;0,051;<LOD;0,021;0,063;0,009;0,086;0,009;1,554;0,298;;;29,8;0,144;0,48;0,027;49,93;0,199;<LOD;0,002;<LOD;0,033;12,072;0,103;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;19.09.2023 16:23;TestAll Geo;300,62;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,39;;;<LOD;3,06;;;<LOD;1,5;15,95;1,28;107,09;1,98;<LOD;39,24;<LOD;1,5;<LOD;25,27;<LOD;1,5;<LOD;1,5;<LOD;1,5;122,89;11,83;<LOD;69,55;42982,61;150,09;658,73;29,41;243,46;18,94;139,15;7,08;4531,2;44,3;;;;;25,29;2,43;146,01;5,63;30,57;6,23;;;;;;;;;201,33;2,25;<LOD;3,53;157,09;2,33;5,3;0,52;13,38;2,07;<LOD;22,17;0,36;0,11;890453,13;447,74;25,49;1,5;246,72;18,32;162,3;15,13;697,19;25,27;25503,13;171,86;30584,83;231,15;;;;;;;;
59;19.09.2023 16:40;Mining;300,48;%;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;y;1;Burnt Clay;;;;;<LOD;0,002;;;<LOD;0,002;;;;;<LOD;0,002;0,012;0,001;<LOD;0,006;<LOD;0,002;;;;;;;;;0,005;0,002;<LOD;0,013;4,599;0,029;0,056;0,005;0,024;0,002;0,013;0,001;0,457;0,006;13,826;0,159;;;0,002;0,001;0,016;0,001;<LOD;0,002;0,061;0,016;0,128;0,007;16,982;0,09;<LOD;0,226;0,021;0,001;;;0,015;0,001;<LOD;0,027;<LOD;0,002;<LOD;0,004;;;57,381;0,282;0,002;0,001;0,03;0,002;0,018;0,002;0,073;0,003;2,517;0,022;3,118;0,03;0,627;0,006;;;;;;
60;19.09.2023 17:02;TestAll Geo;301,01;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;Akura;w;Terrakotta;;;;;83,98;14,95;;;396,27;18,33;;;<LOD;1,5;<LOD;133,21;<LOD;436,96;<LOD;4694,08;<LOD;69,46;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;352,18;46,24;<LOD;53,38;2190,37;85,04;<LOD;78,9;<LOD;42,14;26,31;6,84;345,54;23,6;;;;;110887,46;3472,34;2793,33;93,48;251113,47;5521,07;;;;;;;;;174,9;12,39;<LOD;300000;292,5;138,99;<LOD;15539,35;3830,86;347,92;<LOD;221,52;<LOD;300000;409627,03;6424,65;193,53;57,47;<LOD;72,42;<LOD;58,94;<LOD;97,64;198569,09;3085,73;2734,2;143,99;;;;;;;;
61;19.09.2023 17:15;General Metals;300,79;%;Final;No Match : *7.05;No Match : *7.05;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,012;<LOD;0,01;<LOD;0,01;<LOD;0,01;<LOD;0,043;<LOD;0,003;0,005;0,001;0,002;0,001;0,041;0,002;<LOD;0,002;<LOD;0,003;<LOD;0,039;;;;;;;<LOD;0,031;0,103;0,036;59,265;0,129;<LOD;0,024;0,062;0,003;0,061;0,003;0,159;0,005;2,264;0,16;;;0,031;0,003;1,195;0,021;6,925;0,053;2,811;0,02;0,095;0,009;26,91;0,07;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;19.09.2023 17:22;General Metals;300,48;%;Final;No Match : *6.51;No Match : *6.51;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,014;0,005;0,071;0,005;<LOD;0,009;<LOD;0,008;<LOD;0,052;<LOD;0,003;<LOD;0,002;<LOD;0,002;0,026;0,001;<LOD;0,003;<LOD;0,003;<LOD;0,107;;;;;;;<LOD;0,1;<LOD;0,044;33,453;0,061;<LOD;0,017;0,02;0,003;0,038;0,003;0,107;0,004;2,533;0,137;;;0,355;0,008;13,829;0,055;27,797;0,086;0,45;0,01;0,079;0,007;21,089;0,064;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;19.09.2023 17:40;General Metals;300,47;%;Final;No Match : *6.51;No Match : *6.51;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,019;<LOD;0,016;<LOD;0,017;<LOD;0,017;<LOD;0,016;<LOD;0,005;0,005;0,002;0,007;0,001;0,193;0,004;<LOD;0,005;<LOD;0,005;<LOD;0,044;;;;;;;<LOD;0,05;<LOD;0,101;46,019;0,159;0,086;0,023;0,109;0,007;0,113;0,007;0,325;0,01;2,189;0,186;;;<LOD;0,006;<LOD;0,014;<LOD;0,025;5,628;0,038;0,394;0,017;44,859;0,095;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
