Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Fundstelle;Schnitt Nummer;Art des Materials;Alloy1;Alloy2;HEAT;LOT;BATCH;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Cd;Cd Error;Ag;Ag Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Ca;Ca Error;K;K Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;S;S Error;Mg;Mg Error;Sb;Sb Error;Sn;Sn Error;Pd;Pd Error;Ru;Ru Error;Sc;Sc Error
56;19.09.2023 16:10;TestAll Geo;300,16;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;78,14;19,85;475,02;9,63;<LOD;300000;30,92;9,57;<LOD;1312,29;4342,71;66,79;<LOD;8,4;575,33;53,61;200,16;63,99;<LOD;300000;40769,43;327,95;<LOD;300000;222480,55;1646,23;124,12;29,15;<LOD;42,61;4407,88;77,38;<LOD;47,3;77,12;29,87;<LOD;36,87;<LOD;58,84;37,91;8,61;162,06;8,78;552317,44;2872,95;<LOD;7,84;52,02;6,99;<LOD;365,66;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;31,48;8,21;5,2;556,62;20,97;167776,22;881,56;4703,95;117,81;;;;;;;;;;;;;;;;;;;;;;
57;19.09.2023 16:15;General Metals;123,36;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *5.97;No Match : *6.48;;;;<LOD;0,005;0,091;0,006;;;;;;;;;29,8;0,144;<LOD;0,021;;;;;;;0,48;0,027;<LOD;0,056;49,93;0,199;0,039;0,018;<LOD;0,034;0,366;0,028;<LOD;0,051;;;;;;;<LOD;0,02;<LOD;0,217;;;<LOD;0,004;;;<LOD;0,063;;;;;;;<LOD;0,021;0,063;0,009;0,086;0,009;;;;;1,554;0,298;<LOD;0,033;12,072;0,103;;;<LOD;0,002;<LOD;0,002;0,437;0,019;4,88;0,048;<LOD;0,018;<LOD;0,006;;
58;19.09.2023 16:23;TestAll Geo;300,62;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,09;1,98;201,33;2,25;<LOD;3,53;157,09;2,33;5,3;0,52;25,29;2,43;<LOD;1,5;13,38;2,07;<LOD;22,17;0,36;0,11;146,01;5,63;<LOD;25,27;30,57;6,23;122,89;11,83;<LOD;69,55;42982,61;150,09;658,73;29,41;246,72;18,32;162,3;15,13;697,19;25,27;<LOD;5,39;<LOD;3,06;890453,13;447,74;15,95;1,28;25,49;1,5;<LOD;39,24;<LOD;1,5;<LOD;1,5;<LOD;1,5;243,46;18,94;139,15;7,08;4531,2;44,3;25503,13;171,86;30584,83;231,15;;;;;;;;;;;;;;;;;;;;;;
59;19.09.2023 16:40;Mining;300,48;%;Final;;;;;;;Juan-Marco Puerta Schardt;y;1;Burnt Clay;;;;;;;;0,012;0,001;0,021;0,001;;;0,015;0,001;<LOD;0,027;0,002;0,001;<LOD;0,002;<LOD;0,002;<LOD;0,004;;;0,016;0,001;;;<LOD;0,002;0,005;0,002;<LOD;0,013;4,599;0,029;0,056;0,005;0,03;0,002;0,018;0,002;0,073;0,003;<LOD;0,002;<LOD;0,002;57,381;0,282;<LOD;0,002;0,002;0,001;<LOD;0,006;;;;;;;0,024;0,002;0,013;0,001;0,457;0,006;2,517;0,022;3,118;0,03;13,826;0,159;0,128;0,007;16,982;0,09;0,627;0,006;0,061;0,016;<LOD;0,226;;;;;;;;;;
60;19.09.2023 17:02;TestAll Geo;301,01;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;Akura;w;Terrakotta;;;;;;<LOD;1,5;<LOD;436,96;174,9;12,39;<LOD;300000;292,5;138,99;<LOD;15539,35;110887,46;3472,34;<LOD;69,46;3830,86;347,92;<LOD;221,52;<LOD;300000;2793,33;93,48;<LOD;300000;251113,47;5521,07;352,18;46,24;<LOD;53,38;2190,37;85,04;<LOD;78,9;<LOD;72,42;<LOD;58,94;<LOD;97,64;83,98;14,95;396,27;18,33;409627,03;6424,65;<LOD;133,21;193,53;57,47;<LOD;4694,08;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;42,14;26,31;6,84;345,54;23,6;198569,09;3085,73;2734,2;143,99;;;;;;;;;;;;;;;;;;;;;;
61;19.09.2023 17:15;General Metals;300,79;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *7.05;No Match : *7.05;;;;0,005;0,001;0,041;0,002;;;;;;;;;0,031;0,003;<LOD;0,003;;;;;;;1,195;0,021;<LOD;0,039;6,925;0,053;<LOD;0,031;0,103;0,036;59,265;0,129;<LOD;0,024;;;;;;;<LOD;0,01;<LOD;0,043;;;0,002;0,001;;;<LOD;0,002;;;;;;;0,062;0,003;0,061;0,003;0,159;0,005;;;;;2,264;0,16;0,095;0,009;26,91;0,07;;;2,811;0,02;<LOD;0,002;<LOD;0,012;<LOD;0,01;<LOD;0,01;<LOD;0,003;;
62;19.09.2023 17:22;General Metals;300,48;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.51;No Match : *6.51;;;;<LOD;0,002;0,026;0,001;;;;;;;;;0,355;0,008;<LOD;0,003;;;;;;;13,829;0,055;<LOD;0,107;27,797;0,086;<LOD;0,1;<LOD;0,044;33,453;0,061;<LOD;0,017;;;;;;;<LOD;0,009;<LOD;0,052;;;<LOD;0,002;;;<LOD;0,003;;;;;;;0,02;0,003;0,038;0,003;0,107;0,004;;;;;2,533;0,137;0,079;0,007;21,089;0,064;;;0,45;0,01;<LOD;0,002;0,014;0,005;0,071;0,005;<LOD;0,008;<LOD;0,003;;
63;19.09.2023 17:40;General Metals;300,47;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.51;No Match : *6.51;;;;0,005;0,002;0,193;0,004;;;;;;;;;<LOD;0,006;<LOD;0,005;;;;;;;<LOD;0,014;<LOD;0,044;<LOD;0,025;<LOD;0,05;<LOD;0,101;46,019;0,159;0,086;0,023;;;;;;;<LOD;0,017;<LOD;0,016;;;0,007;0,001;;;<LOD;0,005;;;;;;;0,109;0,007;0,113;0,007;0,325;0,01;;;;;2,189;0,186;0,394;0,017;44,859;0,095;;;5,628;0,038;<LOD;0,002;<LOD;0,019;<LOD;0,016;<LOD;0,017;<LOD;0,005;;
64;19.09.2023 17:49;TestAll Geo;300,6;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;306,24;4,39;42,31;1,58;<LOD;300000;11,77;1,36;<LOD;139,63;<LOD;2,85;<LOD;1,58;<LOD;4,8;<LOD;34,88;<LOD;300000;<LOD;6,78;<LOD;300000;<LOD;15,26;<LOD;31,98;<LOD;133,82;128008,38;501,24;290,52;40,61;189,94;25,4;104,82;20,71;272,58;32,97;<LOD;8,5;<LOD;5,29;844704,19;665,08;7,58;1,54;5,71;1,25;<LOD;37,46;<LOD;1,5;<LOD;1,5;<LOD;1,5;99,89;22,19;45,6;5,86;981,33;25,14;20430,43;167,3;4527,67;112,71;;;;;;;;;;;;;;;;;;;;;;
65;19.09.2023 18:01;General Metals;300,31;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.59;No Match : *6.67;;;;<LOD;0,003;0,086;0,003;;;;;;;;;32,137;0,099;<LOD;0,013;;;;;;;0,524;0,017;<LOD;0,035;47,874;0,132;0,041;0,011;<LOD;0,022;0,352;0,017;<LOD;0,032;;;;;;;<LOD;0,013;<LOD;0,236;;;0,003;0,001;;;0,08;0,02;;;;;;;<LOD;0,012;0,041;0,005;0,071;0,005;;;;;1,562;0,212;<LOD;0,023;10,77;0,068;;;<LOD;0,002;<LOD;0,002;0,536;0,013;5,764;0,033;<LOD;0,012;<LOD;0,004;;
66;19.09.2023 18:07;General Metals;300,87;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.90;No Match : *6.90;;;;<LOD;0,002;0,081;0,003;;;;;;;;;23,435;0,069;<LOD;0,01;;;;;;;0,618;0,015;<LOD;0,031;49,429;0,103;0,051;0,009;<LOD;0,019;0,533;0,016;<LOD;0,026;;;;;;;<LOD;0,01;<LOD;0,132;;;<LOD;0,002;;;0,04;0,016;;;;;;;<LOD;0,01;0,052;0,004;0,157;0,005;;;;;2,234;0,142;<LOD;0,015;20,47;0,064;;;<LOD;0,002;<LOD;0,002;0,23;0,008;2,581;0,018;<LOD;0,009;<LOD;0,003;;
67;19.09.2023 18:10;General Metals;2,99;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *4.34;No Match : *4.75;;;;<LOD;0,002;0,013;0,001;;;;;;;;;<LOD;0,003;<LOD;0,002;;;;;;;0,019;0,004;<LOD;0,014;<LOD;0,007;<LOD;0,016;<LOD;0,05;4,793;0,153;0,056;0,021;;;;;;;<LOD;0,005;<LOD;0,005;;;<LOD;0,002;;;0,005;0,001;;;;;;;<LOD;0,051;<LOD;0,101;0,315;0,109;;;;;94,788;0,203;;;;;;;;;;;<LOD;0,006;<LOD;0,005;<LOD;0,005;<LOD;0,002;;
68;19.09.2023 18:16;TestAll Geo;301,19;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,2;1,95;199,23;2,21;5,3;2,36;157,5;2,29;5;0,5;26,14;2,41;<LOD;1,5;12,82;2,04;<LOD;21,54;0,37;0,11;153,49;5,63;<LOD;24,81;32,04;6,16;130,62;11,73;<LOD;68,32;42882,25;147,63;632,78;28,59;270,59;18,39;175,22;15,12;732,05;25,22;<LOD;5,37;<LOD;3,03;889889,69;445,94;17,54;1,27;24,39;1,47;<LOD;37,41;<LOD;1,5;<LOD;1,5;<LOD;1,5;221,45;19,31;138,07;7,17;4571,6;44,73;25445,79;172,14;31067,58;233,7;;;;;;;;;;;;;;;;;;;;;;
69;21.09.2023 10:17;TestAll Geo;300,73;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;105,17;1,96;203,13;2,25;<LOD;3,47;157,26;2,32;5,43;0,52;27,2;2,45;<LOD;1,5;12,5;2,07;<LOD;21,65;0,42;0,11;152,67;5,69;<LOD;25,23;28,19;6,16;114,29;11,71;<LOD;69,1;43054,98;149,39;643,19;29,04;264,78;18,55;166,12;15,22;711,66;25,42;<LOD;5,41;<LOD;3,08;890366,69;444,96;15,7;1,27;25,4;1,49;<LOD;38,21;<LOD;1,5;<LOD;1,5;<LOD;1,5;237,57;18,88;135,26;7,04;4602,94;44,41;25474,69;170,78;30635,36;230,01;;;;;;;;;;;;;;;;;;;;;;
70;21.09.2023 10:22;TestAll Geo;301,27;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;109,43;1,97;203;2,24;<LOD;3,48;158,34;2,31;5,04;0,51;26,95;2,44;<LOD;1,5;14,38;2,09;<LOD;21,62;0,35;0,11;151,65;5,64;<LOD;24,82;33,13;6,21;116,95;11,71;<LOD;68,98;43145,66;148,85;655,53;29,12;269,62;18,5;157,72;15,07;713,94;25,3;<LOD;5,41;<LOD;3,09;890374;444,43;16,27;1,28;24,47;1,48;<LOD;37,97;<LOD;1,5;<LOD;1,5;<LOD;1,5;226,24;19,01;132,82;7,02;4558,76;44,07;25394,66;169,93;30587,32;229,13;;;;;;;;;;;;;;;;;;;;;;
71;21.09.2023 10:28;TestAll Geo;300,84;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;106,73;1,95;201,28;2,22;<LOD;3,5;159,05;2,31;5,56;0,52;26,6;2,43;<LOD;1,5;12,44;2,05;<LOD;21,38;0,33;0,11;149,73;5,6;<LOD;24,97;32,52;6,18;125,8;11,72;<LOD;68,37;43041,15;148,15;594,06;28,17;286,84;18,69;171,88;15,22;722,62;25,38;<LOD;5,38;<LOD;3,09;890251,44;445,71;16,55;1,28;24,36;1,48;<LOD;38,22;<LOD;1,5;<LOD;1,5;<LOD;1,5;229,95;19,22;130,55;7,1;4600,75;44,75;25478,46;171,83;30613,91;231,53;;;;;;;;;;;;;;;;;;;;;;
72;21.09.2023 10:33;TestAll Geo;300,61;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;108,29;1,97;201,83;2,23;<LOD;3,48;158,75;2,31;4,79;0,5;27,7;2,45;<LOD;1,5;13,01;2,08;<LOD;21,69;0,37;0,11;152,11;5,65;<LOD;24,89;26,16;6,11;120,97;11,76;<LOD;69,09;43247,23;149,14;630,18;28,8;277,19;18,58;164,64;15,14;716,86;25,34;<LOD;5,39;<LOD;3,08;889645;446,73;17;1,27;24,91;1,48;<LOD;37,5;<LOD;1,5;<LOD;1,5;<LOD;1,5;221,23;19,24;135,8;7,13;4581,62;44,65;25643,38;172,39;30930,48;232,54;;;;;;;;;;;;;;;;;;;;;;
73;21.09.2023 10:38;TestAll Geo;300,48;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;105,21;1,96;202,28;2,24;<LOD;3,51;160,14;2,33;5,61;0,52;26,43;2,43;<LOD;1,5;13,78;2,08;<LOD;21,67;0,41;0,11;152,31;5,66;<LOD;24,89;34,07;6,23;117,17;11,7;<LOD;68,91;43134,48;149,06;624,74;28,76;273,8;18,46;166,8;15,09;715,29;25,21;<LOD;5,32;<LOD;3,04;890123,06;446,23;15,65;1,27;25,46;1,49;<LOD;38,6;<LOD;1,5;<LOD;1,5;<LOD;1,5;210,55;19,54;132,61;7,15;4558,22;44,62;25483,98;172,19;30610,09;231,92;;;;;;;;;;;;;;;;;;;;;;
74;21.09.2023 10:44;TestAll Geo;301,24;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;106,67;1,96;202,85;2,23;<LOD;3,5;157,73;2,3;4,92;0,5;28,07;2,46;<LOD;1,5;12,79;2,08;<LOD;21,79;0,42;0,11;149,7;5,6;<LOD;24,47;31,45;6,17;122;11,69;<LOD;68,62;43136,08;148,61;630,11;28,69;261,58;18,45;157,59;15,09;691,77;25,25;<LOD;5,38;<LOD;3,07;889846,5;448,59;16,09;1,27;25,11;1,49;<LOD;38,03;<LOD;1,5;<LOD;1,5;<LOD;1,5;228,93;19,36;130,39;7,13;4557,93;44,83;25750,93;173,71;30702,48;233,16;;;;;;;;;;;;;;;;;;;;;;
75;21.09.2023 10:49;TestAll Geo;300,27;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;105,93;1,96;202,3;2,24;<LOD;3,52;158,23;2,31;5,06;0,51;27,82;2,46;<LOD;1,5;11,7;2,06;<LOD;21,72;0,29;0,1;153,71;5,68;<LOD;25,05;35,72;6,26;122,68;11,76;<LOD;69,05;43180,13;149,05;618,4;28,67;276,53;18,47;160,88;15,02;715,48;25,19;<LOD;5,35;<LOD;3,04;889648,13;448,62;17,55;1,28;24,17;1,47;<LOD;37,56;<LOD;1,5;<LOD;1,5;<LOD;1,5;242,27;19,28;147,17;7,25;4541,12;44,86;25800,64;174,43;30958,74;234,76;;;;;;;;;;;;;;;;;;;;;;
76;21.09.2023 10:55;TestAll Geo;300,93;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,41;1,95;201,03;2,22;<LOD;3,45;156,21;2,3;5,93;0,52;26,25;2,42;<LOD;1,5;11,65;2,03;<LOD;21,24;0,4;0,11;151,28;5,61;<LOD;24,54;39,61;6,27;119,63;11,62;<LOD;68,43;43189,19;148,27;593,18;28,27;268,02;18,47;170,61;15,17;707,32;25,25;<LOD;5,35;<LOD;3,06;889704,13;447,97;16,47;1,28;25,67;1,49;<LOD;38,97;<LOD;1,5;<LOD;1,5;<LOD;1,5;229,76;19,16;133,38;7,09;4579,97;44,58;25601,58;172,08;30862,85;232,1;;;;;;;;;;;;;;;;;;;;;;
77;21.09.2023 11:00;TestAll Geo;301,2;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;108,73;1,96;201,2;2,22;<LOD;3,47;156,93;2,3;5,22;0,51;25,56;2,41;<LOD;1,5;13,94;2,06;<LOD;22,11;0,35;0,11;153,53;5,65;<LOD;24,81;27,14;6,1;123,07;11,69;<LOD;68,59;43226,01;148,65;594,33;28,29;252,46;18,34;151,82;15,01;716,73;25,31;<LOD;5,31;<LOD;3,05;890053,5;444,05;16,35;1,26;23,84;1,46;<LOD;37,36;<LOD;1,5;<LOD;1,5;<LOD;1,5;235,27;19,16;131,49;7,06;4559,8;44,39;25636,46;171,83;30718,01;231,07;;;;;;;;;;;;;;;;;;;;;;
78;21.09.2023 11:05;TestAll Geo;300,83;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;108;1,96;202,75;2,23;<LOD;3,51;159,23;2,31;5,3;0,51;26,02;2,42;<LOD;1,5;13,66;2,06;<LOD;21,94;0,33;0,11;148,4;5,58;<LOD;24,61;29,31;6,13;120,81;11,66;<LOD;68,52;43087,03;148,46;650,96;28,94;269,92;18,37;159,57;14,97;718,44;25,14;<LOD;5,31;<LOD;3,07;889958,63;445,31;16,67;1,27;24,1;1,47;<LOD;37,87;<LOD;1,5;<LOD;1,5;<LOD;1,5;218,8;19,23;141,02;7,17;4549,34;44,56;25661,18;172,7;30813,46;232,53;;;;;;;;;;;;;;;;;;;;;;
79;21.09.2023 11:11;TestAll Geo;300,08;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,97;1,97;202,4;2,24;<LOD;3,51;159,07;2,32;4,91;0,51;30,01;2,5;<LOD;1,5;11,33;2,09;<LOD;21,51;0,42;0,11;156,58;5,71;<LOD;24,74;30,47;6,18;119,32;11,72;<LOD;69,06;43332,38;149,41;632,4;28,86;254,69;18,39;164,99;15,15;726,92;25,39;<LOD;5,36;<LOD;3,03;889803,75;447,88;16,74;1,27;23,59;1,47;<LOD;37,69;<LOD;1,5;<LOD;1,5;<LOD;1,5;226,39;19,5;134,24;7,19;4568,14;44,97;25595,89;173,61;30921,98;234,47;;;;;;;;;;;;;;;;;;;;;;
80;21.09.2023 11:16;TestAll Geo;301,15;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,93;1,95;200,34;2,21;<LOD;3,51;159,71;2,31;5,12;0,51;26,01;2,42;<LOD;1,5;13,09;2,05;<LOD;21,68;0,31;0,11;154,63;5,66;<LOD;25,02;32,31;6,16;115,99;11,57;<LOD;68,35;43193,39;148,23;644,4;28,84;268,83;18,33;170,58;15,05;715,49;25,09;<LOD;5,3;<LOD;3,09;889672,56;447,96;16,11;1,27;24,11;1,48;<LOD;37,65;<LOD;1,5;<LOD;1,5;<LOD;1,5;234,79;19,12;134,88;7,13;4588,66;44,82;25615,61;172,71;30937,93;233,24;;;;;;;;;;;;;;;;;;;;;;
81;21.09.2023 11:46;TestAll Geo;304,67;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;<LOD;15,95;<LOD;13,31;<LOD;300000;80,48;7,4;1836,65;114,92;53,9;20,77;<LOD;48,84;607825,38;11439,66;<LOD;526,58;<LOD;300000;249,46;13,26;<LOD;300000;205,13;16,31;805,88;35,07;373,23;29,47;1654,22;75,71;1298,16;49,17;561,55;99,84;405,18;82,11;607,39;121,92;<LOD;28,7;<LOD;20,15;373595,97;11678,84;<LOD;12,45;<LOD;12,7;<LOD;44,49;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;60,41;30,05;9,6;220,71;31,32;3229,83;70,33;942,75;79,31;;;;;;;;;<LOD;1,5;;;;;;;;;;;5,02;1,49
82;21.09.2023 11:56;TestAll Geo;327,29;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;<LOD;38,94;26,23;4,49;<LOD;300000;<LOD;19,03;<LOD;1750,28;2565,92;73,43;<LOD;14,5;624,32;69,82;<LOD;164,65;<LOD;300000;46233,62;476,61;<LOD;300000;481049,72;4491,28;<LOD;57,08;<LOD;46,45;6039,17;87,45;<LOD;48,23;317,51;49,7;204;40,56;392,55;62,36;<LOD;16,18;592,57;21,71;451775,56;5022,55;<LOD;9,24;51,86;9,97;<LOD;507,05;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;31,17;49,19;6,4;1699,65;34,44;4204,19;69,15;1983,95;82,52;;;;;;;;;<LOD;1,5;;;;;;;;;;;2,14;1,39
83;21.09.2023 12:03;General Metals;300,71;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.51;No Match : *6.51;;;;<LOD;0,002;0,003;0,001;;;;;;;;;0,35;0,008;<LOD;0,002;;;;;;;4,99;0,023;<LOD;0,038;55,211;0,087;<LOD;0,009;<LOD;0,007;0,654;0,01;<LOD;0,008;;;;;;;<LOD;0,006;<LOD;0,093;;;<LOD;0,002;;;<LOD;0,004;;;;;;;<LOD;0,006;0,038;0,003;0,24;0,005;;;;;15,093;0,105;1,923;0,01;21,272;0,042;;;<LOD;0,002;<LOD;0,002;<LOD;0,007;0,161;0,005;<LOD;0,006;<LOD;0,002;;
84;21.09.2023 12:24;General Metals;346,37;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.90;No Match : *6.90;;;;<LOD;0,002;0,013;0,001;;;;;;;;;0,872;0,016;<LOD;0,004;;;;;;;9,674;0,039;<LOD;0,066;58,179;0,118;0,019;0,006;<LOD;0,009;0,905;0,014;<LOD;0,011;;;;;;;<LOD;0,009;<LOD;0,068;;;<LOD;0,002;;;<LOD;0,008;;;;;;;<LOD;0,009;0,066;0,005;0,316;0,007;;;;;11,089;0,145;1,976;0,014;16,699;0,051;;;<LOD;0,002;<LOD;0,002;<LOD;0,011;0,133;0,006;<LOD;0,009;<LOD;0,003;;
85;21.09.2023 12:41;General Metals;300,19;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.90;No Match : *6.90;;;;<LOD;0,002;0,037;0,002;;;;;;;;;0,638;0,015;<LOD;0,004;;;;;;;7,331;0,036;<LOD;0,064;56,439;0,126;<LOD;0,013;<LOD;0,01;0,866;0,015;0,013;0,006;;;;;;;<LOD;0,009;<LOD;0,136;;;<LOD;0,002;;;<LOD;0,008;;;;;;;<LOD;0,009;0,055;0,005;0,332;0,008;;;;;10,726;0,156;1,772;0,015;21,471;0,061;;;<LOD;0,002;<LOD;0,002;<LOD;0,011;0,217;0,007;<LOD;0,009;<LOD;0,003;;
86;21.09.2023 13:02;General Metals;300,2;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.31;No Match : *6.90;;;;<LOD;0,002;0,004;0,001;;;;;;;;;0,994;0,021;0,007;0,003;;;;;;;1,956;0,024;<LOD;0,039;74,688;0,165;0,018;0,009;<LOD;0,034;2,087;0,022;<LOD;0,028;;;;;;;<LOD;0,009;<LOD;0,087;;;<LOD;0,002;;;0,048;0,007;;;;;;;<LOD;0,012;0,052;0,005;0,201;0,006;;;;;7,377;0,179;1,569;0,015;10,909;0,054;;;<LOD;0,002;<LOD;0,002;0,021;0,006;<LOD;0,01;<LOD;0,009;<LOD;0,003;;
87;21.09.2023 13:08;General Metals;300,4;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.31;No Match : *7.05;;;;<LOD;0,002;0,004;0,001;;;;;;;;;1,288;0,02;0,009;0,003;;;;;;;2,181;0,021;<LOD;0,031;73,038;0,126;<LOD;0,017;<LOD;0,028;1,881;0,018;<LOD;0,023;;;;;;;<LOD;0,007;<LOD;0,102;;;<LOD;0,002;;;0,085;0,007;;;;;;;<LOD;0,009;0,047;0,004;0,197;0,005;;;;;8,354;0,137;1,264;0,011;11,536;0,044;;;<LOD;0,002;<LOD;0,002;0,035;0,005;<LOD;0,008;<LOD;0,007;<LOD;0,002;;
88;21.09.2023 13:14;General Metals;300,73;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.31;No Match : *7.01;;;;<LOD;0,002;<LOD;0,002;;;;;;;;;1,113;0,017;<LOD;0,005;;;;;;;1,881;0,019;<LOD;0,028;72,44;0,118;0,016;0,008;<LOD;0,027;1,992;0,018;<LOD;0,022;;;;;;;<LOD;0,007;<LOD;0,099;;;<LOD;0,002;;;0,068;0,006;;;;;;;<LOD;0,008;0,053;0,003;0,193;0,005;;;;;8,912;0,128;1,481;0,011;11,751;0,041;;;<LOD;0,002;<LOD;0,002;0,027;0,004;<LOD;0,008;<LOD;0,007;<LOD;0,002;;
89;21.09.2023 13:20;General Metals;240,77;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *4.34;No Match : *4.34;;;;<LOD;0,005;<LOD;0,014;;;;;;;;;93,841;0,232;<LOD;0,026;;;;;;;<LOD;0,02;<LOD;0,058;<LOD;0,025;<LOD;0,048;<LOD;0,039;<LOD;0,078;<LOD;0,08;;;;;;;<LOD;0,01;<LOD;0,056;;;<LOD;0,004;;;0,166;0,042;;;;;;;<LOD;0,022;0,109;0,009;<LOD;0,017;;;;;<LOD;0,422;1,064;0,017;4,389;0,052;;;<LOD;0,002;<LOD;0,002;0,09;0,012;<LOD;0,017;<LOD;0,011;<LOD;0,006;;
90;21.09.2023 13:28;TestAll Geo;300,51;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;<LOD;135,38;11,44;6,64;<LOD;300000;72,94;43,53;<LOD;6014,67;8030,32;252,96;<LOD;41,95;8784,69;309,24;<LOD;332,06;<LOD;300000;18888,22;326,27;<LOD;300000;682116,31;9768,34;273,46;61,7;<LOD;77,75;18662,94;383,63;<LOD;59,77;442,98;103,43;266,02;83,23;431,41;126,03;<LOD;34,94;736,87;44,34;242683,36;12292,41;<LOD;37,86;<LOD;34,52;<LOD;1768,58;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;52;70,59;9,17;908,37;34,29;3924,8;112,16;4211,25;173,52;;;;;;;;;;;;;;;;;;;;;;
